0.69999999999999996; 0.093983132263709759; 1; 5.7234689633407525; 6.1253684035455833e-16; 9.7918000000000007e-05; 0.081052830442786217; 1; 14.686188912560436; 8.0245233783821419; 0.047211000000000003; 0.10552618280053139; 1; 5.7234689633407516; 0; 0.0072570000000000004; 0.019352207; 1; 0.073918125000000001; 
0.79999999999999993; 0.093658783055585004; 1; 5.7073171826932949; 6.737905271695828e-16; 9.519400000000001e-05; 0.0924501558765769; 1; 9.749272200107665; 3.0969245181893341; 0.030023000000000001; 0.10535768419504166; 1; 5.7073171826932931; 0; 0.0071879999999999999; 0.017837478000000004; 1; 0.055143672000000005; 
0.89999999999999991; 0.093799200551263215; 1; 5.7066698086982788; 6.7379052723563028e-16; 9.4984999999999999e-05; 0.09370209525028865; 1; 5.7066698086982797; 8.8817841838233023e-16; 0.021578; 0.10542475804686546; 1; 5.7066698086982797; 0; 0.0079590000000000008; 0.019186377000000004; 1; 0.048818362000000004; 
0.99999999999999989; 0.093971257065904548; 1; 5.7150982994671482; 6.1253684263335493e-16; 0.00013241900000000002; 0.09384540716807048; 1; 5.7150982994671473; 0; 0.026372; 0.10549138113856316; 1; 5.7150982994671473; 0; 0.0079550000000000003; 0.023592657999999999; 1; 0.058052077000000001; 
0.10000000000000001; 0.093727605610058232; 1; 5.7060137487588731; 4.5940263192548054e-16; 9.3029000000000007e-05; 0.09418053030967713; 1; 16.607039626046934; 8.0124439894841721; 0.085986000000000007; 0.10542507842183113; 1; 5.7060137487588758; 0; 0.0070349999999999996; 0.016403882000000002; 1; 0.10951791100000001; 
0.20000000000000001; 0.094044148665049981; 1; 5.7167287330710019; 7.6567105074414027e-16; 9.3866000000000012e-05; 0.091904627780119583; 1; 7.1537423991700608; 2.2193495195312174; 0.059669; 0.10557764396071434; 1; 5.716728733071001; 0; 0.0070219999999999996; 0.016009816000000007; 1; 0.082794682000000008; 
0.30000000000000004; 0.094046348384742073; 1; 5.7226122909230854; 1.0719394710178764e-15; 9.3098000000000009e-05; 0.093961695830027267; 1; 5.7226122909230845; 1.7763568390148722e-15; 0.025683999999999998; 0.1055770143866539; 1; 5.7226122909230845; 0; 0.007012; 0.016345784000000006; 1; 0.049134882000000005; 
0.40000000000000002; 0.079781127748665984; 1; 5.1784226857740911; 3.6185046922262754e-16; 0.00013360600000000001; 0.064892151858657598; 1; 10.584764760823937; 4.2989088835700171; 0.046337000000000003; 0.08992115780711174; 1; 5.1784226857740911; 0; 0.0073730000000000002; 0.028430679999999996; 1; 0.082274286000000002; 
0.5; 0.093847501637606787; 1; 5.7197749640217452; 7.044173663941097e-16; 9.4076000000000012e-05; 0.067676925659179682; 1; 14.346584490399163; 4.7987254700600328; 0.052191000000000001; 0.10545002296566963; 1; 5.7197749640217479; 0; 0.0071440000000000002; 0.016669985000000009; 1; 0.07609906100000001; 
0.59999999999999998; 0.094061339466736241; 1; 5.6941676050024519; 6.1253684107236437e-16; 0.00010818500000000001; 0.073873678843180343; 1; 8.7831027628934528; 4.00781515910883; 0.023890000000000002; 0.10559960454702377; 1; 5.6941676050024501; 0; 0.0070790000000000002; 0.020751822999999999; 1; 0.051829008000000003; 
0.69999999999999996; 0.093615232870496556; 1; 5.7021043757096628; 5.8190999940230782e-16; 9.4705000000000009e-05; 0.093563941617806748; 1; 5.7021043757096628; 0; 0.019826; 0.10534245148301125; 1; 5.7021043757096628; 0; 0.007796; 0.016806068; 1; 0.044522773000000002; 
0.79999999999999993; 0.093808690792527696; 1; 5.7207651350507396; 3.6752210443085285e-16; 9.4705000000000009e-05; 0.085751768201589584; 1; 8.7010013627156049; 2.3332674773161992; 0.025361999999999999; 0.10545415058732033; 1; 5.7207651350507405; 0; 0.0069839999999999998; 0.018969391000000002; 1; 0.051410096000000002; 
0.89999999999999991; 0.09364805036577685; 1; 5.7208957558028413; 7.044173663941097e-16; 9.4076000000000012e-05; 0.11815962195396423; 1; 10.054720017301598; 3.9671767476874606; 0.021787000000000001; 0.1053575836122036; 1; 5.7208957558028404; 0; 0.0070650000000000001; 0.016639192000000004; 1; 0.045585268000000005; 
0.99999999999999989; 0.094214042199069051; 1; 5.7248480144753557; 4.9002947248916252e-16; 0.00010224700000000001; 0.094130481282869979; 1; 5.7248480144753557; 5.9211895115532943e-16; 0.023629000000000001; 0.10567736253142357; 1; 5.7248480144753557; 0; 0.010777999999999999; 0.018809338000000002; 1; 0.053318585000000002; 
.
